"MasterFundCode","FullName","InceptionDate","Category"
"000558","国投瑞银瑞易货币市场基金","2014-03-20","货币型基金"
"000559","诺安天天宝货币市场基金","2014-03-25","货币型基金"
"000561","南方启元债券型证券投资基金","2014-07-25","债券型基金"
"000563","南方通利债券型证券投资基金","2014-04-25","债券型基金"
"000566","华泰柏瑞创新升级混合型证券投资基金","2014-05-06","混合型基金"
"000567","广发聚祥灵活配置混合型证券投资基金","2014-03-21","混合型基金"
"000569","鹏华增值宝货币市场基金","2014-02-26","货币型基金"
"000571","中邮双动力混合型证券投资基金","2014-05-04","混合型基金"
"000572","中银多策略灵活配置混合型证券投资基金","2014-03-31","混合型基金"
"000573","天弘通利混合型证券投资基金","2014-03-14","混合型基金"
"000574","宝盈新价值灵活配置混合型证券投资基金","2014-04-10","混合型基金"
"000575","兴全添利宝货币市场基金","2014-02-27","货币型基金"
"000576","中邮货币市场基金","2014-05-28","货币型基金"
"000577","安信价值精选股票型证券投资基金","2014-04-21","股票型基金"
"000578","鑫元恒鑫收益增强债券型发起式证券投资基金","2014-04-17","债券型基金"
"000581","嘉实活钱包货币市场基金","2014-03-17","货币型基金"
"000583","江信聚福定期开放债券型发起式证券投资基金","2014-05-29","债券型基金"
"000584","新华鑫益灵活配置混合型证券投资基金","2014-04-16","混合型基金"
"000585","嘉实对冲套利定期开放混合型发起式证券投资基金","2014-05-16","混合型基金"
"000586","景顺长城中小创精选股票型证券投资基金","2014-04-30","股票型基金"
"000587","大成灵活配置混合型证券投资基金","2014-05-14","混合型基金"
"000588","招商招钱宝货币市场基金","2014-03-25","货币型基金"
"000589","光大保德信银发商机主题混合型证券投资基金","2014-04-29","混合型基金"
"000590","华安新活力灵活配置混合型证券投资基金","2014-04-01","混合型基金"
"000591","中银健康生活混合型证券投资基金","2014-05-20","混合型基金"
"000592","建信改革红利股票型证券投资基金","2014-05-14","股票型基金"
"000594","摩根士丹利华鑫进取优选股票型证券投资基金","2014-05-29","股票型基金"
"000595","嘉实泰和混合型证券投资基金","2014-04-04","混合型基金"
"000596","前海开源中证军工指数型证券投资基金","2014-05-27","股票型基金"
"000597","中海积极收益灵活配置混合型证券投资基金","2014-05-26","混合型基金"
"000598","长盛生态环境主题灵活配置混合型证券投资基金","2014-09-10","混合型基金"
